dev_username,followers,NoC,AB,NAB,CII,CNII,CE,NCE,INEI,IEI,AddLGM,DelLGM,ChurnLGM,NoMGM,AddLOC,DelLOC,churnLOC,AddF,DelF,AddSAM,DelSAM,ChurnSAM,DiP,ICT,project,job
2242d2135f89de7558f5d9f3c14803f6,11,42,2.0,36.0,9.0,29.0,23.0,15.0,3.0,2.0,2.0,1.0,1.0,0.0,2760.0,178.0,2582.0,32.0,8.0,0.0,0.0,0.0,1968.2246064814813,46.862490630511466,spring-social,SE
34ac2b50bc42ce0b42cf959c7bb8e6f5,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,6.005613425925926,1.2011226851851853,spring-social,UNKNOW
d0746cbd8709d7505376f52f26d6300a,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-social,UNKNOW
af11096c71d34bc11d4e25d0eec4d231,29,3,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,293.0,-102.0,0.0,0.0,0.0,0.0,0.0,0.2261689814814815,0.0753896604938271,spring-social,UNKNOW
9f2af07e1509bad3feda098858e01ecf,2372,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,18.0,0.0,23.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-social-linkedin,UNKNOW
41a12c200d56050eb895d2d99cc5b040,5994,593,235.0,842.0,290.0,787.0,396.0,681.0,81.0,18.0,434.0,441.0,-7.0,15.0,18657.0,536.0,18121.0,387.0,279.0,0.0,0.0,0.0,5476.565057870372,172.81420532308044,spring-social-linkedin,SSE
1a41b5edb5529fdb3df5b34d97b7ca00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-social-linkedin,UNKNOW
2d12c34cdee3959c8b964df35a3abf67,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,21.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-social-linkedin,UNKNOW
ffc77e54131395e2bff3f6a7c8cd4ad0,1824,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,-6.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,136.05929398148146,25.58889994855967,spring-social-linkedin,SE
e50b4db1538e0226daeb2532a402d51c,34,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,29.47591435185185,7.368978587962962,spring-social-linkedin,BOT
82f44d850d05e4d8acaebde0802a2e40,63,79,0.0,28.0,2.0,26.0,18.0,10.0,0.0,0.0,54.0,301.0,-247.0,2.0,894.0,570.0,324.0,20.0,0.0,0.0,0.0,0.0,123.21587962962964,3.159381528964861,Piggymetrics,SE
c60d256cecda0011b0edf6a04e6c9e31,18,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,278.0,-224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0233796296296296,0.0116898148148148,Piggymetrics,UNKNOW
f63f167bb554371595db5d9411adf170,1,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,3.872719907407408,1.2909066358024692,Piggymetrics,UNKNOW
0e9ccc26f417aa118bb9a6b6ed26b63c,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Piggymetrics,UNKNOW
